Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,3017,135628.0282,1106,49719.787599999996
812,334.908,8386,2808538.4880000004,337,112863.996
1358,97.2156,12630,1227833.028,1909,185584.58039999998
1778,40.8635,2,81.727,0,0.0
828,45.4532,358,16272.2456,191,8681.5612
2213,8.07837,20,161.5674,44,355.44827999999995
1726,65.5195,24,1572.4679999999998,2,131.039
2054,37.2896,273,10180.0608,142,5295.1232
1903,16.1097,15,241.6455,11,177.2067
509,133.977,2506,335746.362,244,32690.388000000003
1751,10.0901,0,0.0,0,0.0
62,40.4224,575,23242.88,159,6427.1616
2151,40.7196,167,6800.1732,185,7533.126
239,98.774,122,12050.428,12,1185.288
1893,44.3029,0,0.0,0,0.0
1305,111.513,17302,1929397.926,2847,317477.511
1673,34.2884,108,3703.1472000000003,19,651.4796
492,45.4197,3183,144570.9051,368,16714.4496
2249,320.874,20003,6418442.622,3069,984762.3060000001
264,17.7912,1168,20780.1216,369,6564.9528
2123,26.1783,51,1335.0933,1,26.1783
116,27.1629,323,8773.6167,34,923.5386
1159,18.1708,139,2525.7412,226,4106.6008
1270,263.009,9866,2594846.794,7018,1845797.162
2165,28.2044,3,84.6132,0,0.0
1152,171.372,244,41814.768000000004,58,9939.576000000001
792,79.0312,735,58087.932,6,474.18719999999996
1979,51.6033,947,48868.325099999995,103,5315.1399
2185,56.1164,11,617.2804,28,1571.2592

weighted_avg,NA,NA,15852197.987499997,NA,3604969.04698
weighted_%,NA,NA,0.8147228195866518,NA,0.18527718041334812
weighted_total,19457167.034479998
