Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,571395,25686833.667
812,334.908,289265,96877162.62
1358,97.2156,1749405,170069456.718
1778,40.8635,950,38820.325000000004
828,45.4532,173425,7882721.210000001
2213,8.07837,18645,150621.20865
1726,65.5195,1620,106141.59
2054,37.2896,63970,2385415.712
1903,16.1097,5645,90939.2565
509,133.977,649835,87062943.795
1751,10.0901,0,0.0
62,40.4224,115035,4649990.784
2151,40.7196,173750,7075030.5
239,98.774,9075,896374.05
1893,44.3029,0,0.0
1305,111.513,2759090,307674403.17
1673,34.2884,12045,413003.77800000005
492,45.4197,588350,26722680.495
2249,320.874,1324425,424973547.45000005
264,17.7912,199325,3546230.94
2123,26.1783,6205,162436.3515
116,27.1629,29200,793156.68
1159,18.1708,104300,1895214.44
1270,263.009,5773095,1518375942.855
2165,28.2044,2190,61767.636
1152,171.372,58945,10101522.540000001
792,79.0312,64955,5133471.596
1979,51.6033,339835,17536607.4555
2185,56.1164,9130,512342.73199999996

weighted_avg,NA,NA,2720874779.5551505
weighted_%,NA,NA,1.0
weighted_total,2720874779.5551505
