Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,685580433,149077408414.551
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2320289750,171491455277.625
562,151.883,687534329,104424776491.507
2322,74.3347,705222630,52422512634.261
533,77.6496,1554169842,120680666563.3632
655,136.191,951876465,129637007644.815
414,208.958,843746155,176307509056.49
253,149.505,957590289,143164536156.945
853,129.616,2217099395,287371555182.32
907,262.418,920788888,241631578411.18402
1114,12.9007,1257419647,16221593640.0529
939,1055.11,834563784,880556594136.2399
2606,11.2554,7596850763,85505594077.8702
2837,150.956,904234408,136499609294.04799
1793,150.359,3213081696,483115750728.864
1046,85.9267,852330816,73237974327.1872
554,46.3771,665284636,30853972092.2356
1970,47.9169,9924487093,475550655586.57166

weighted_avg,NA,NA,3766059042561.228
weighted_%,NA,NA,1.0
weighted_total,3766059042561.228
