Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,93668,20367825.596,26062,5667103.714
2298,16.1495,0,0.0,0,0.0
2235,73.9095,16,1182.552,414,30598.532999999996
562,151.883,19785,3005005.1550000003,13230,2009412.09
2322,74.3347,1498,111353.3806,316,23489.765199999998
533,77.6496,1731,134411.45760000002,9012,699778.1952000001
655,136.191,718,97785.138,1423,193799.793
414,208.958,65904,13771168.032,82957,17334528.806
253,149.505,113185,16921723.425,37701,5636488.005
853,129.616,56,7258.496000000001,499,64678.384000000005
907,262.418,9780,2566448.04,13346,3502230.628
1114,12.9007,8054,103902.2378,685,8836.9795
939,1055.11,156878,165523546.57999998,160911,169778805.20999998
2606,11.2554,12,135.0648,208,2341.1232
2837,150.956,128820,19446151.919999998,51613,7791292.027999999
1793,150.359,25,3758.9750000000004,600,90215.40000000001
1046,85.9267,90702,7793723.5434,22156,1903791.9652
554,46.3771,2184,101287.5864,3052,141542.9092
1970,47.9169,2470,118354.743,2062,98804.64779999999

weighted_avg,NA,NA,250075021.92259994,NA,214977738.1763
weighted_%,NA,NA,0.5377347333008367,NA,0.4622652666991633
weighted_total,465052760.09889996
