Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,5,1087.2350000000001,0,0.0,1,217.447
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,6,443.457,0,0.0,0,0.0
562,151.883,39,5923.437000000001,0,0.0,7,1063.181
2322,74.3347,0,0.0,0,0.0,1,74.3347
533,77.6496,80,6211.968000000001,0,0.0,6,465.8976
655,136.191,6,817.146,0,0.0,2,272.382
414,208.958,255,53284.29,0,0.0,60,12537.48
253,149.505,0,0.0,0,0.0,0,0.0
853,129.616,4,518.464,0,0.0,0,0.0
907,262.418,5,1312.0900000000001,0,0.0,2,524.836
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,151,159321.61,0,0.0,18,18991.98
2606,11.2554,3,33.7662,0,0.0,1,11.2554
2837,150.956,0,0.0,0,0.0,0,0.0
1793,150.359,2,300.718,0,0.0,3,451.077
1046,85.9267,14,1202.9738,0,0.0,5,429.63349999999997
554,46.3771,5,231.88549999999998,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,230689.0405,NA,0.0,NA,35085.8813
weighted_%,NA,NA,0.8679864862253531,NA,0.0,NA,0.1320135137746469
weighted_total,265774.9218
