Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,96583,21001683.601,12796,2782451.812
2298,16.1495,0,0.0,0,0.0
2235,73.9095,25,1847.7375,117,8647.4115
562,151.883,14256,2165244.048,4800,729038.4
2322,74.3347,26,1932.7022,14,1040.6858
533,77.6496,1631,126646.49760000002,3073,238617.2208
655,136.191,66,8988.606,261,35545.851
414,208.958,62682,13097905.356,35730,7466069.34
253,149.505,113370,16949381.849999998,14980,2239584.9
853,129.616,55,7128.880000000001,148,19183.168
907,262.418,9499,2492708.582,4752,1247010.3360000001
1114,12.9007,799,10307.659300000001,63,812.7441
939,1055.11,141898,149717998.77999997,73800,77867118.0
2606,11.2554,28,315.1512,102,1148.0508
2837,150.956,130117,19641941.851999998,20142,3040555.752
1793,150.359,16,2405.744,120,18043.08
1046,85.9267,94126,8087936.5642,9130,784510.771
554,46.3771,1789,82968.6319,821,38075.5991
1970,47.9169,6715,321761.9835,730,34979.337

weighted_avg,NA,NA,233719104.2264,NA,96552432.45909998
weighted_%,NA,NA,0.7076574220471148,NA,0.29234257795288526
weighted_total,330271536.68549997
