Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,49372147,10735825248.709
2298,16.1495,0,0.0
2235,73.9095,597987954,44196990686.162994
562,151.883,222568500,33804371485.500004
2322,74.3347,38591194,2868664828.6317997
533,77.6496,175904925,13658947064.28
655,136.191,54801374,7463453926.434
414,208.958,4088742934,854375546002.772
253,149.505,56471247,8442733782.735
853,129.616,86694165,11236950890.640001
907,262.418,103446002,27146092952.836002
1114,12.9007,1694029,21854159.9203
939,1055.11,2960996578,3124177099413.5796
2606,11.2554,926514375,10428289896.375
2837,150.956,23117217,3489682609.4519997
1793,150.359,647828738,97406881216.942
1046,85.9267,41432048,3560119158.8816
554,46.3771,43227453,2004763910.5263
1970,47.9169,24027915,1151343200.2635

weighted_avg,NA,NA,4256169610434.6416
weighted_%,NA,NA,1.0
weighted_total,4256169610434.6416
