Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,33870,7364929.89,3819,830430.093
2298,16.1495,0,0.0,0,0.0
2235,73.9095,8,591.276,35,2586.8325
562,151.883,4023,611025.309,2190,332623.77
2322,74.3347,18,1338.0246,8,594.6776
533,77.6496,820,63672.672000000006,2861,222155.50560000003
655,136.191,121,16479.111,240,32685.84
414,208.958,20041,4187727.278,15583,3256192.514
253,149.505,31225,4668293.625,4630,692208.15
853,129.616,59,7647.344000000001,109,14128.144000000002
907,262.418,4902,1286373.036,2223,583355.214
1114,12.9007,83,1070.7581,0,0.0
939,1055.11,39504,41681065.44,27137,28632520.069999997
2606,11.2554,59,664.0686,22,247.6188
2837,150.956,32008,4831799.648,8299,1252783.8439999998
1793,150.359,22,3307.898,105,15787.695000000002
1046,85.9267,26001,2234180.1267,3059,262849.7753
554,46.3771,895,41507.504499999995,721,33437.8891
1970,47.9169,8520,408251.988,1436,68808.6684

weighted_avg,NA,NA,67409924.9975,NA,36233396.3013
weighted_%,NA,NA,0.6504029796879974,NA,0.3495970203120026
weighted_total,103643321.29879999
