Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2766,217.447,27,5871.069
2298,16.1495,31,500.6345
2235,73.9095,31,2291.1944999999996
562,151.883,25,3797.0750000000003
2322,74.3347,29,2155.7063
533,77.6496,28,2174.1888000000004
655,136.191,31,4221.921
414,208.958,24,5014.992
253,149.505,27,4036.6349999999998
853,129.616,30,3888.4800000000005
907,262.418,23,6035.6140000000005
1114,12.9007,29,374.12030000000004
939,1055.11,21,22157.309999999998
2606,11.2554,32,360.1728
2837,150.956,27,4075.812
1793,150.359,31,4661.129
1046,85.9267,29,2491.8743
554,46.3771,27,1252.1816999999999
1970,47.9169,32,1533.3408

weighted_avg,NA,NA,76893.451
weighted_%,NA,NA,1.0
weighted_total,76893.451
