Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
517,810.151,741687,600878464.737,499700,404832454.7,2125,1721570.875,0,0.0,6277,5085317.827,2,1620.302,3,2430.453
5297,898.498,746405,670643399.69,496612,446204888.776,2311,2076428.878,0,0.0,6467,5810586.566000001,6,5390.988,55,49417.39
5168,967.77,741998,718083404.46,498636,482564961.71999997,2210,2138771.7,0,0.0,6277,6074692.29,4,3871.08,6,5806.62
2807,979.819,741310,726349622.89,499511,489430368.509,2177,2133065.963,0,0.0,6270,6143465.13,2,1959.638,2,1959.638
2215,509.983,742409,378615969.047,498605,254280073.715,2099,1070454.317,0,0.0,6349,3237882.067,2,1019.966,2,1019.966
1490,862.35,744055,641635829.25,499315,430584290.25,2261,1949773.35,0,0.0,6352,5477647.2,8,6898.8,57,49153.950000000004
3954,490.914,742384,364446698.976,498513,244727010.882,2138,1049574.132,0,0.0,6312,3098649.168,3,1472.742,2,981.828
2031,399.553,742261,296572609.333,498827,199307824.331,2092,835864.876,0,0.0,6366,2543554.398,6,2397.318,3,1198.659

weighted_avg,NA,NA,4397225998.382999,NA,2951931872.883,NA,12975504.090999998,NA,0.0,NA,37471794.646,NA,24630.833999999995,NA,111968.504
weighted_%,NA,NA,0.5942404661473214,NA,0.3989236334048305,NA,0.001753507689249481,NA,0.0,NA,0.005063932744417531,NA,3.3286072362756997e-06,NA,1.5131406945025276e-05
weighted_total,7399741769.340998
