Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,12410,10053973.91,738,597891.438
5297,898.498,12344,11091059.312,801,719696.898
5168,967.77,11930,11545496.1,775,750021.75
2807,979.819,12411,12160533.609,768,752500.992
2215,509.983,12223,6233522.209,844,430425.652
1490,862.35,12486,10767302.1,890,767491.5
3954,490.914,12043,5912077.302,814,399603.996
2031,399.553,12396,4952858.988,800,319642.4

weighted_avg,NA,NA,72716823.53,NA,4737274.626000001
weighted_%,NA,NA,0.9388376504435094,NA,0.06116234955649053
weighted_total,77454098.156
